keyword,avg_monthly_searches,n,searches_raw,month_counter,month,roll_avg
is tiktok shop legit,5400,9900.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",17,2023-10-01,7200
is tiktok shop legit,5400,22200.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",18,2023-11-01,13400
is tiktok shop legit,5400,14800.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",19,2023-12-01,15633
is tiktok shop legit,5400,18100.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",20,2024-01-01,18367
is tiktok shop legit,5400,12100.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",21,2024-02-01,15000
is tiktok shop legit,5400,12100.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",22,2024-03-01,14100
is tiktok shop legit,5400,14800.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",23,2024-04-01,13000
is tiktok shop legit,5400,14800.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",24,2024-05-01,13900
is tiktok shop legit,5400,12100.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",25,2024-06-01,13900
is tiktok shop legit,5400,9900.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",26,2024-07-01,12267
