platform,month,searches,n_keywords
YouTube,2022-12-01,130,7
YouTube,2023-01-01,120,7
YouTube,2023-02-01,180,7
YouTube,2023-03-01,180,7
YouTube,2023-04-01,160,7
YouTube,2023-05-01,140,7
YouTube,2023-06-01,140,7
YouTube,2023-07-01,150,7
YouTube,2023-08-01,120,7
YouTube,2023-09-01,120,7
YouTube,2023-10-01,120,7
YouTube,2023-11-01,110,7
YouTube,2023-12-01,80,7
YouTube,2024-01-01,80,7
YouTube,2024-02-01,110,7
YouTube,2024-03-01,120,7
YouTube,2024-04-01,150,7
YouTube,2024-05-01,100,7
YouTube,2024-06-01,100,7
YouTube,2024-07-01,90,7
YouTube,2024-08-01,110,7
YouTube,2024-09-01,100,7
YouTube,2024-10-01,120,7
YouTube,2024-11-01,90,7
YouTube,2024-12-01,150,7
YouTube,2025-01-01,230,7
YouTube,2025-02-01,130,7
YouTube,2025-03-01,120,7
YouTube,2025-04-01,140,7
YouTube,2025-05-01,200,7
YouTube,2025-06-01,190,7
YouTube,2025-07-01,150,7
YouTube,2025-08-01,110,7
YouTube,2025-09-01,110,7
YouTube,2025-10-01,120,7
YouTube,2025-11-01,130,7
YouTube,2025-12-01,140,7
YouTube,2026-01-01,120,7
YouTube,2026-02-01,120,7
YouTube,2026-03-01,100,7
YouTube,2026-04-01,100,7
YouTube,2026-05-01,60,7
Instagram,2022-06-01,460,12
Instagram,2022-07-01,490,12
Instagram,2022-08-01,730,12
Instagram,2022-09-01,540,12
Instagram,2022-10-01,490,12
Instagram,2022-11-01,490,12
Instagram,2022-12-01,400,12
Instagram,2023-01-01,460,12
Instagram,2023-02-01,850,12
Instagram,2023-03-01,470,12
Instagram,2023-04-01,400,12
Instagram,2023-05-01,260,12
Instagram,2023-06-01,230,12
Instagram,2023-07-01,250,12
Instagram,2023-08-01,330,12
Instagram,2023-09-01,330,12
Instagram,2023-10-01,300,12
Instagram,2023-11-01,310,12
Instagram,2023-12-01,300,12
Instagram,2024-01-01,360,12
Instagram,2024-02-01,380,12
Instagram,2024-03-01,380,12
Instagram,2024-04-01,270,12
Instagram,2024-05-01,270,12
Instagram,2024-06-01,190,12
Instagram,2024-07-01,310,12
Instagram,2024-08-01,220,12
Instagram,2024-09-01,190,12
Instagram,2024-10-01,230,12
Instagram,2024-11-01,310,12
Instagram,2024-12-01,360,12
Instagram,2025-01-01,400,12
Instagram,2025-02-01,470,12
Instagram,2025-03-01,670,12
Instagram,2025-04-01,690,12
Instagram,2025-05-01,630,12
Instagram,2025-06-01,440,12
Instagram,2025-07-01,310,12
Instagram,2025-08-01,220,12
Instagram,2025-09-01,190,12
Instagram,2025-10-01,260,12
Instagram,2025-11-01,180,12
Instagram,2025-12-01,200,12
Instagram,2026-01-01,240,12
Instagram,2026-02-01,270,12
Instagram,2026-03-01,410,12
Instagram,2026-04-01,350,12
Instagram,2026-05-01,300,12
Facebook,2022-06-01,520,18
Facebook,2022-07-01,620,18
Facebook,2022-08-01,2840,18
Facebook,2022-09-01,950,18
Facebook,2022-10-01,740,18
Facebook,2022-11-01,470,18
Facebook,2022-12-01,370,18
Facebook,2023-01-01,300,18
Facebook,2023-02-01,350,18
Facebook,2023-03-01,330,18
Facebook,2023-04-01,260,18
Facebook,2023-05-01,270,18
Facebook,2023-06-01,250,18
Facebook,2023-07-01,230,18
Facebook,2023-08-01,220,18
Facebook,2023-09-01,200,18
Facebook,2023-10-01,210,18
Facebook,2023-11-01,190,18
Facebook,2023-12-01,170,18
Facebook,2024-01-01,190,18
Facebook,2024-02-01,220,18
Facebook,2024-03-01,300,18
Facebook,2024-04-01,270,18
Facebook,2024-05-01,180,18
Facebook,2024-06-01,130,18
Facebook,2024-07-01,200,18
Facebook,2024-08-01,150,18
Facebook,2024-09-01,150,18
Facebook,2024-10-01,170,18
Facebook,2024-11-01,190,18
Facebook,2024-12-01,340,18
Facebook,2025-01-01,320,18
Facebook,2025-02-01,580,18
Facebook,2025-03-01,760,18
Facebook,2025-04-01,720,18
Facebook,2025-05-01,710,18
Facebook,2025-06-01,540,18
Facebook,2025-07-01,450,18
Facebook,2025-08-01,290,18
Facebook,2025-09-01,250,18
Facebook,2025-10-01,250,18
Facebook,2025-11-01,230,18
Facebook,2025-12-01,210,18
Facebook,2026-01-01,210,18
Facebook,2026-02-01,200,18
Facebook,2026-03-01,190,18
Facebook,2026-04-01,220,18
Facebook,2026-05-01,230,18
QVC/HSN,2022-06-01,30,2
QVC/HSN,2022-07-01,40,2
QVC/HSN,2022-08-01,40,2
QVC/HSN,2022-09-01,20,2
QVC/HSN,2022-10-01,40,2
QVC/HSN,2022-11-01,50,2
QVC/HSN,2022-12-01,40,2
QVC/HSN,2023-01-01,30,2
QVC/HSN,2023-02-01,40,2
QVC/HSN,2023-03-01,40,2
QVC/HSN,2023-04-01,50,2
QVC/HSN,2023-05-01,50,2
QVC/HSN,2023-06-01,40,2
QVC/HSN,2023-07-01,120,2
QVC/HSN,2023-08-01,490,2
QVC/HSN,2023-09-01,150,2
QVC/HSN,2023-10-01,150,2
QVC/HSN,2023-11-01,180,2
QVC/HSN,2023-12-01,70,2
QVC/HSN,2024-01-01,50,2
QVC/HSN,2024-02-01,50,2
QVC/HSN,2024-03-01,40,2
QVC/HSN,2024-04-01,50,2
QVC/HSN,2024-05-01,50,2
QVC/HSN,2024-06-01,30,2
QVC/HSN,2024-07-01,40,2
QVC/HSN,2024-08-01,40,2
QVC/HSN,2024-09-01,30,2
QVC/HSN,2024-10-01,20,2
QVC/HSN,2024-11-01,70,2
QVC/HSN,2024-12-01,120,2
QVC/HSN,2025-01-01,60,2
QVC/HSN,2025-02-01,20,2
QVC/HSN,2025-03-01,80,2
QVC/HSN,2025-04-01,230,2
QVC/HSN,2025-05-01,140,2
QVC/HSN,2025-06-01,160,2
QVC/HSN,2025-07-01,200,2
QVC/HSN,2025-08-01,200,2
QVC/HSN,2025-09-01,160,2
QVC/HSN,2025-10-01,70,2
QVC/HSN,2025-11-01,140,2
QVC/HSN,2025-12-01,420,2
QVC/HSN,2026-01-01,460,2
QVC/HSN,2026-02-01,260,2
QVC/HSN,2026-03-01,260,2
QVC/HSN,2026-04-01,180,2
QVC/HSN,2026-05-01,140,2
NTWRK,2022-06-01,30,1
NTWRK,2022-07-01,10,1
